_id,id,username,followers,text,hashtags,created,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb0"")",1.23992E+18,a_tiny_stay,79,RT @ashleyyhickmann: Soooo, Trump says that the coronavirus pandemic could until July or August...... or longer. I think we can consider 20…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb1"")",1.23992E+18,Tosca225,799,RT @mfstern: @realDonaldTrump Trump's mantra...... https://t.co/JxxT09d6CA,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb2"")",1.23992E+18,frthalk,666,"RT @larryelder: Axios: ""80% of African Americans think that [Trump is] racist. Is he racist?""",,,,,,,,,,,,,,
"Rep. James Clyburn (D-SC): ""I don’t know.""",,,,,,,,,,,,,,,,,,
Ax…,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb3"")",1.23992E+18,MaykenAlanna,832,Yesterday the president announced the #ConfinementGeneral which came into effect today at noon. Police have set up… https://t.co/tK8pkkuRP5,"[{text"":""ConfinementGeneral""","57]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb4"")",1.23992E+18,_LHustler,253,RT @CahnEmily: If you are wondering why Trump randomly attacked Michigan Gov. Gretchen Whitmer, it's because of this. https://t.co/NXLyhlPF…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb5"")",1.23992E+18,DeborahSmitn,3,@realDonaldTrump “Chinese Virus” ??? Can you be even more of a douche bag?  Mouth breather...🙄. Your a joke of a president.,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb6"")",1.23992E+18,Shaaanaaay,1047,RT @ashleyyhickmann: Soooo, Trump says that the coronavirus pandemic could until July or August...... or longer. I think we can consider 20…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb7"")",1.23992E+18,CindyVitale3,378,RT @eatkinson48: Trump came to Nashville to assess damage from the tornado.He visited each area via helicopter 2 avoid burdening traffic fl…,[],,,,,,,,,,,,,
